what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views",1444723484659
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1444723484659
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1444723484665
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1444723484666
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1444723484668
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1444723484675
started,bundle,org.eclipse.wb.core,1.1.0.r37x201109091012,"org.eclipse.wb.core",1444723484675
started,bundle,org.eclipse.wb.core.lib,1.1.0.r37x201109091012,"org.eclipse.wb.core.lib",1444723484676
started,bundle,org.eclipse.wb.discovery.core,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.core",1444723484680
os,sysinfo,,,"win32",1444723484683
arch,sysinfo,,,"x86",1444723484683
ws,sysinfo,,,"win32",1444723484683
locale,sysinfo,,,"zh_CN",1444723484684
processors,sysinfo,,,"4",1444723484684
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1444723484684
java.runtime.version,sysinfo,,,"1.7.0_02-b13",1444723484684
java.specification.name,sysinfo,,,"Java Platform API Specification",1444723484684
java.specification.vendor,sysinfo,,,"Oracle Corporation",1444723484684
java.specification.version,sysinfo,,,"1.7",1444723484684
java.vendor,sysinfo,,,"Oracle Corporation",1444723484684
java.version,sysinfo,,,"1.7.0_02",1444723484684
java.vm.info,sysinfo,,,"mixed mode",1444723484684
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1444723484684
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1444723484684
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1444723484684
java.vm.specification.version,sysinfo,,,"1.7",1444723484684
java.vm.vendor,sysinfo,,,"Oracle Corporation",1444723484684
java.vm.version,sysinfo,,,"22.0-b10",1444723484684
started,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1444723484701
started,bundle,org.eclipse.wb.discovery.ui,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.ui",1444723484768
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1444723485774
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1444723486319
opened,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ProblemView",1444723489036
